date	time	subject	blocknum	blockcode	trialcode	values.doorsselected	latency	response	values.currentgain	values.currentloss	expressions.total	values.globalgain	values.globalloss	values.dooragain	values.dooraloss	values.doorbgain	values.doorbloss	values.doorcgain	values.doorcloss	values.doordgain	values.doordloss	values.doorahposition	values.doorbhposition	values.doorchposition	values.doordhposition	values.trackingcondition	date_2	time_2	subject_2	blocknum_2	blockcode_2	trialcode_2	values.doorsselected_2	latency_2	response_2	values.currentgain_2	values.currentloss_2	expressions.total_2	values.globalgain_2	values.globalloss_2	values.dooragain_2	values.dooraloss_2	values.doorbgain_2	values.doorbloss_2	values.doorcgain_2	values.doorcloss_2	values.doordgain_2	values.doordloss_2	values.doorahposition_2	values.doorbhposition_2	values.doorchposition_2	values.doordhposition_2	values.trackingcondition_2
07/17/2016	09:53:03	9206852	1	HDTstd	HDTstd	200	646	doorc	2	3	0	612	612	92	122	332	400	80	40	108	50	14	38	62	86	2	07/17/2016	09:53:03	9206852	2	HDTrev	HDTrev	200	415	doora	0	4	128	864	736	728	584	100	88	16	32	20	32	14	38	62	86	2
12/22/2015	11:00:49	9201212	1	HDTstd	HDTstd	200	421	doord	2	0	-31	602	633	60	80	344	450	126	63	72	40	14	38	62	86	2	12/22/2015	11:00:49	9201212	2	HDTrev	HDTrev	200	330	doorb	0	4	107	819	712	270	216	500	408	19	36	30	52	14	38	62	86	2
11/05/2016	12:04:02	0101742	1	HDTstd	HDTstd	200	244	doora	4	8	-45	608	653	164	208	252	350	90	45	102	50	14	38	62	86	2	11/05/2016	12:04:02	0101742	2	HDTrev	HDTrev	200	324	doorb	0	4	153	883	730	340	268	500	392	23	44	20	26	14	38	62	86	2
08/15/2015	14:36:54	9703711	1	HDTstd	HDTstd	200	274	doord	2	0	-2	608	610	128	172	288	350	38	18	154	70	14	38	62	86	2	08/15/2015	14:36:54	9703711	2	HDTrev	HDTrev	200	169	doorb	0	4	193	965	772	50	44	900	700	5	14	10	14	14	38	62	86	2
06/27/2015	12:06:14	9205302	1	HDTstd	HDTstd	200	403	doord	2	0	38	588	550	128	150	248	300	120	60	92	40	14	38	62	86	2	06/27/2015	12:06:14	9205302	2	HDTrev	HDTrev	200	929	doorb	0	4	-1	591	592	192	144	300	240	59	118	40	90	14	38	62	86	2
11/05/2015	18:33:45	9802631	1	HDTstd	HDTstd	200	910	doorb	4	0	-68	646	714	144	182	348	450	62	32	92	50	14	38	62	86	2	11/05/2015	18:33:45	9802631	2	HDTrev	HDTrev	200	19	doorb	0	4	25	631	606	232	184	300	228	59	110	40	84	14	38	62	86	2
08/21/2016	10:15:22	9903301	1	HDTstd	HDTstd	200	248	doorb	4	0	-133	714	847	80	100	548	700	50	27	36	20	14	38	62	86	2	08/21/2016	10:15:22	9903301	2	HDTrev	HDTrev	200	317	doora	0	4	43	685	642	160	128	450	356	15	32	60	126	14	38	62	86	2
07/18/2015	14:41:52	9800991	1	HDTstd	HDTstd	200	457	doord	2	0	4	598	594	152	192	244	300	104	52	98	50	14	38	62	86	2	07/18/2015	14:41:52	9800991	2	HDTrev	HDTrev	200	1399	doorb	0	4	13	615	602	222	180	300	224	53	106	40	92	14	38	62	86	2
11/07/2015	11:54:29	9800862	1	HDTstd	HDTstd	200	475	doord	2	0	28	608	580	104	130	312	350	34	20	158	80	14	38	62	86	2	11/07/2015	11:54:29	9800862	2	HDTrev	HDTrev	200	412	doorb	0	4	154	930	776	28	32	900	720	2	10	0	14	14	38	62	86	2
08/14/2015	14:46:35	7121	1	HDTstd	HDTstd	200	292	doora	4	8	-58	658	716	80	100	436	550	72	36	70	30	14	38	62	86	2	08/14/2015	14:46:35	7121	2	HDTrev	HDTrev	200	348	doora	12	4	21	679	658	512	408	100	108	27	58	40	84	14	38	62	86	2
